ISCO-08,ONET-SOC,Job title
0110,33-1011.00,First-Line Supervisors of Correctional Officers
0110,33-1012.00,First-Line Supervisors of Police and Detectives
0110,33-3012.00,Correctional Officers and Jailers
0110,33-3021.00,Detectives and Criminal Investigators
0110,33-3051.00,Police and Sheriff's Patrol Officers
0110,33-3021.06,Intelligence Analysts
0110,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
0210,33-1011.00,First-Line Supervisors of Correctional Officers
0210,33-1012.00,First-Line Supervisors of Police and Detectives
0210,33-3021.06,Intelligence Analysts
0310,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
0310,53-2012.00,Commercial Pilots
0310,33-3021.06,Intelligence Analysts
0310,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
0310,43-5031.00,Public Safety Telecommunicators
1111,11-1031.00,Legislators
1111,11-1011.00,Chief Executives
1112,33-1012.00,First-Line Supervisors of Police and Detectives
1112,43-3071.00,Tellers
1112,11-9199.00,"Managers, All Other"
1112,13-1111.00,Management Analysts
1112,11-1021.00,General and Operations Managers
1112,11-9161.00,Emergency Management Directors
1112,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
1112,33-2011.00,Firefighters
1112,33-2021.00,Fire Inspectors and Investigators
1112,33-2022.00,Forest Fire Inspectors and Prevention Specialists
1112,33-1011.00,First-Line Supervisors of Correctional Officers
1112,33-3021.00,Detectives and Criminal Investigators
1112,33-3021.02,Police Identification and Records Officers
1112,33-3041.00,Parking Enforcement Workers
1112,33-3051.00,Police and Sheriff's Patrol Officers
1112,33-3052.00,Transit and Railroad Police
1112,43-5031.00,Public Safety Telecommunicators
1112,11-1011.00,Chief Executives
1114,13-1075.00,Labor Relations Specialists
1120,11-1011.00,Chief Executives
1120,11-1021.00,General and Operations Managers
1120,11-9199.00,"Managers, All Other"
1120,11-3013.00,Facilities Managers
1120,13-1071.00,Human Resources Specialists
1120,11-3121.00,Human Resources Managers
1120,13-1075.00,Labor Relations Specialists
1120,21-1015.00,Rehabilitation Counselors
1211,11-3031.00,Financial Managers
1211,11-3031.01,Treasurers and Controllers
1211,43-3071.00,Tellers
1211,13-2031.00,Budget Analysts
1211,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
1212,11-3111.00,Compensation and Benefits Managers
1212,11-3121.00,Human Resources Managers
1212,11-2033.00,Fundraising Managers
1212,41-9041.00,Telemarketers
1212,13-1071.00,Human Resources Specialists
1212,13-1075.00,Labor Relations Specialists
1212,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
1212,13-1041.03,Equal Opportunity Representatives and Officers
1212,21-2021.00,"Directors, Religious Activities and Education"
1213,11-9199.02,Compliance Managers
1213,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
1213,19-2041.01,Climate Change Policy Analysts
1213,11-9151.00,Social and Community Service Managers
1213,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
1213,43-4061.00,"Eligibility Interviewers, Government Programs"
1213,11-1021.00,General and Operations Managers
1213,13-1161.00,Market Research Analysts and Marketing Specialists
1213,11-3061.00,Purchasing Managers
1213,43-3061.00,Procurement Clerks
1213,13-1082.00,Project Management Specialists
1213,15-1299.09,Information Technology Project Managers
1219,11-3013.00,Facilities Managers
1219,11-3013.01,Security Managers
1219,11-3051.02,Geothermal Production Managers
1219,11-3051.03,Biofuels Production Managers
1219,11-3051.04,Biomass Power Plant Managers
1219,11-3051.06,Hydroelectric Production Managers
1219,11-9199.08,Loss Prevention Managers
1219,11-9199.09,Wind Energy Operations Managers
1219,13-1082.00,Project Management Specialists
1219,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
1219,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
1219,13-1199.07,Security Management Specialists
1219,33-1091.00,First-Line Supervisors of Security Workers
1219,33-9099.02,Retail Loss Prevention Specialists
1219,11-1011.03,Chief Sustainability Officers
1219,11-3012.00,Administrative Services Managers
1219,13-1111.00,Management Analysts
1219,11-9199.00,"Managers, All Other"
1219,11-3051.00,Industrial Production Managers
1219,11-9199.10,Wind Energy Development Managers
1219,51-8012.00,Power Distributors and Dispatchers
1219,17-2051.02,Water/Wastewater Engineers
1219,51-8031.00,Water and Wastewater Treatment Plant and System Operators
1219,11-1021.00,General and Operations Managers
1219,11-9041.00,Architectural and Engineering Managers
1219,15-1299.09,Information Technology Project Managers
1219,11-3051.01,Quality Control Systems Managers
1221,11-2011.00,Advertising and Promotions Managers
1221,11-2021.00,Marketing Managers
1221,11-2022.00,Sales Managers
1221,11-3031.00,Financial Managers
1221,11-2032.00,Public Relations Managers
1221,11-3061.00,Purchasing Managers
1221,11-9199.01,Regulatory Affairs Managers
1221,13-1041.07,Regulatory Affairs Specialists
1221,13-1199.06,Online Merchants
1221,13-1161.01,Search Marketing Strategists
1221,11-1021.00,General and Operations Managers
1222,11-2032.00,Public Relations Managers
1222,27-3031.00,Public Relations Specialists
1222,11-2011.00,Advertising and Promotions Managers
1223,11-9041.00,Architectural and Engineering Managers
1223,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
1223,11-9121.00,Natural Sciences Managers
1223,11-9121.01,Clinical Research Coordinators
1223,11-9199.00,"Managers, All Other"
1223,15-2011.00,Actuaries
1223,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel"
1223,13-1082.00,Project Management Specialists
1223,11-2021.00,Marketing Managers
1223,11-3051.00,Industrial Production Managers
1223,29-9092.00,Genetic Counselors
1223,15-1221.00,Computer and Information Research Scientists
1311,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
1311,19-1031.02,Range Managers
1311,19-1032.00,Foresters
1311,19-4071.00,Forest and Conservation Technicians
1311,33-2022.00,Forest Fire Inspectors and Prevention Specialists
1311,33-3031.00,Fish and Game Wardens
1311,37-3013.00,Tree Trimmers and Pruners
1311,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
1311,45-3031.00,Fishing and Hunting Workers
1311,45-4011.00,Forest and Conservation Workers
1312,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
1312,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
1321,11-3051.00,Industrial Production Managers
1321,11-3051.01,Quality Control Systems Managers
1321,51-1011.00,First-Line Supervisors of Production and Operating Workers
1321,11-3051.03,Biofuels Production Managers
1321,17-2041.00,Chemical Engineers
1321,11-9199.00,"Managers, All Other"
1321,19-4099.01,Quality Control Analysts
1321,11-1021.00,General and Operations Managers
1321,11-3013.00,Facilities Managers
1321,11-9121.02,Water Resource Specialists
1321,17-2051.02,Water/Wastewater Engineers
1321,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
1321,53-1042.01,Recycling Coordinators
1322,11-9199.00,"Managers, All Other"
1322,11-9041.00,Architectural and Engineering Managers
1323,11-9021.00,Construction Managers
1323,47-1011.03,Solar Energy Installation Managers
1323,11-9041.00,Architectural and Engineering Managers
1323,17-3022.00,Civil Engineering Technologists and Technicians
1323,13-2023.00,Appraisers and Assessors of Real Estate
1323,41-9021.00,Real Estate Brokers
1324,11-3061.00,Purchasing Managers
1324,11-3071.00,"Transportation, Storage, and Distribution Managers"
1324,11-3071.04,Supply Chain Managers
1324,11-1021.00,General and Operations Managers
1324,53-1041.00,Aircraft Cargo Handling Supervisors
1324,53-2021.00,Air Traffic Controllers
1324,53-2022.00,Airfield Operations Specialists
1324,13-1081.00,Logisticians
1324,13-1081.01,Logistics Engineers
1324,13-1081.02,Logistics Analysts
1324,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
1324,11-3013.00,Facilities Managers
1324,11-2022.00,Sales Managers
1324,11-9199.00,"Managers, All Other"
1324,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
1324,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
1324,43-3061.00,Procurement Clerks
1324,11-3121.00,Human Resources Managers
1330,11-3021.00,Computer and Information Systems Managers
1330,15-1299.09,Information Technology Project Managers
1330,15-1243.01,Data Warehousing Specialists
1330,15-1299.03,Document Management Specialists
1330,29-9021.00,Health Information Technologists and Medical Registrars
1330,27-3042.00,Technical Writers
1330,13-1082.00,Project Management Specialists
1330,11-9199.00,"Managers, All Other"
1330,15-1231.00,Computer Network Support Specialists
1330,15-1241.00,Computer Network Architects
1330,15-1241.01,Telecommunications Engineering Specialists
1341,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
1341,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
1341,39-9011.00,Childcare Workers
1341,39-9011.01,Nannies
1341,11-9032.00,"Education Administrators, Kindergarten through Secondary"
1342,11-9111.00,Medical and Health Services Managers
1342,15-1211.01,Health Informatics Specialists
1342,15-2051.02,Clinical Data Managers
1342,29-9021.00,Health Information Technologists and Medical Registrars
1343,11-9111.00,Medical and Health Services Managers
1343,11-9199.00,"Managers, All Other"
1344,11-9151.00,Social and Community Service Managers
1345,11-9032.00,"Education Administrators, Kindergarten through Secondary"
1345,11-9033.00,"Education Administrators, Postsecondary"
1345,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
1345,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
1345,25-9031.00,Instructional Coordinators
1346,11-3031.00,Financial Managers
1346,13-2061.00,Financial Examiners
1346,13-2099.04,"Fraud Examiners, Investigators and Analysts"
1346,43-3071.00,Tellers
1346,43-9041.00,Insurance Claims and Policy Processing Clerks
1346,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
1346,13-1032.00,"Insurance Appraisers, Auto Damage"
1349,11-3012.00,Administrative Services Managers
1349,11-9131.00,Postmasters and Mail Superintendents
1349,19-2041.00,"Environmental Scientists and Specialists, Including Health"
1349,33-1011.00,First-Line Supervisors of Correctional Officers
1349,11-3013.01,Security Managers
1349,11-1021.00,General and Operations Managers
1349,23-1012.00,Judicial Law Clerks
1349,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
1349,23-1022.00,"Arbitrators, Mediators, and Conciliators"
1349,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
1349,33-3011.00,Bailiffs
1349,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
1349,15-1299.03,Document Management Specialists
1349,11-1011.03,Chief Sustainability Officers
1349,47-4011.01,Energy Auditors
1349,11-9199.11,Brownfield Redevelopment Specialists and Site Managers
1349,13-1041.01,Environmental Compliance Inspectors
1349,17-2081.00,Environmental Engineers
1349,19-4042.00,"Environmental Science and Protection Technicians, Including Health"
1349,13-1121.00,"Meeting, Convention, and Event Planners"
1349,27-3091.00,Interpreters and Translators
1349,25-4022.00,Librarians and Media Collections Specialists
1349,25-4031.00,Library Technicians
