SOC_2020,ISCO-08,SOC2020_job_title,ISCO08_job_title
2439,2422,"Business, research and administrative professionals n.e.c.",Policy Administration Professionals
2439,2422,"Business, research and administrative professionals n.e.c.",Policy Administration Professionals
2439,2422,"Business, research and administrative professionals n.e.c.",Policy Administration Professionals
4111,3353,National government administrative occupations,Government Social Benefits Officials
4111,3314,National government administrative occupations,"Statistical, Mathematical and Related Associate Professionals"
2439,2422,"Business, research and administrative professionals n.e.c.",Policy Administration Professionals
4111,3353,National government administrative occupations,Government Social Benefits Officials
4111,3314,National government administrative occupations,"Statistical, Mathematical and Related Associate Professionals"
3560,2422,Public services associate professionals,Policy Administration Professionals
4111,3353,National government administrative occupations,Government Social Benefits Officials
4111,3314,National government administrative occupations,"Statistical, Mathematical and Related Associate Professionals"
4111,4110,National government administrative occupations,General Office Clerks
4111,3353,National government administrative occupations,Government Social Benefits Officials
4111,4110,National government administrative occupations,General Office Clerks
4111,3353,National government administrative occupations,Government Social Benefits Officials
4111,3353,National government administrative occupations,Government Social Benefits Officials
4111,3353,National government administrative occupations,Government Social Benefits Officials
4111,4110,National government administrative occupations,General Office Clerks
3311,310,Non-commissioned officers and other ranks,"Armed Forces Occupations, Other Ranks"
8232,8350,Marine and waterways transport operatives,Ships’ Deck Crews and Related Workers
2435,1211,Professional/Chartered company secretaries,Finance Managers
2435,1211,Professional/Chartered company secretaries,Finance Managers
1112,1111,Elected officers and representatives,Legislators
4111,4110,National government administrative occupations,General Office Clerks
4112,4110,Local government administrative occupations,General Office Clerks
3560,2422,Public services associate professionals,Policy Administration Professionals
8133,3131,Energy plant operatives,Power Production Plant Operators
2463,2636,Clergy,Religious Professionals
5319,7119,Construction and building trades n.e.c.,Building Frame and Related Trades Workers Not Elsewhere Classified
4135,4419,Library clerks and assistants,Clerical Support Workers Not Elsewhere Classified
2311,2310,Higher education teaching professionals,University and Higher Education Teachers
3415,2652,Musicians,"Musicians, Singers and Composers"
2421,2411,Chartered and certified accountants,Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
2421,2411,Chartered and certified accountants,Accountants
2133,2511,"IT business analysts, architects and systems designers",Systems Analysts
2423,2411,Taxation experts,Accountants
2423,2411,Taxation experts,Accountants
2421,2411,Chartered and certified accountants,Accountants
6211,4212,Sports and leisure assistants,"Bookmakers, Croupiers and Related Gaming Workers"
2421,2411,Chartered and certified accountants,Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
2421,2411,Chartered and certified accountants,Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
4122,2411,"Book-keepers, payroll managers and wages clerks",Accountants
2419,2619,Legal professionals n.e.c.,Legal Professionals Not Elsewhere Classified
2421,2411,Chartered and certified accountants,Accountants
2482,2421,Quality assurance and regulatory professionals,Management and Organization Analysts
9223,9112,Cleaners and domestics,"Cleaners and Helpers in Offices, Hotels and Other Establishments"
9139,9329,Elementary process plant occupations n.e.c.,Manufacturing Labourers Not Elsewhere Classified
8113,3117,Chemical and related process operatives,Mining and Metallurgical Technicians
2129,2149,Engineering professionals n.e.c.,Engineering Professionals Not Elsewhere Classified
5319,7124,Construction and building trades n.e.c.,Insulation Workers
3413,2659,"Actors, entertainers and presenters",Creative and Performing Artists Not Elsewhere Classified
3413,2655,"Actors, entertainers and presenters",Actors
3413,2655,"Actors, entertainers and presenters",Actors
2433,2120,"Actuaries, economists and statisticians","Mathematicians, Actuaries and Statisticians"
2212,2212,Specialist medical practitioners,Specialist Medical Practitioners 
2229,2230,Therapy professionals n.e.c.,Traditional and Complementary Medicine Professionals
3541,3315,"Estimators, valuers and assessors",Valuers and Loss Assessors
2419,2611,Legal professionals n.e.c.,Lawyers
2482,2421,Quality assurance and regulatory professionals,Management and Organization Analysts
3520,3411,Legal associate professionals,Legal and Related Associate Professionals
2419,3411,Legal professionals n.e.c.,Legal and Related Associate Professionals
3541,3315,"Estimators, valuers and assessors",Valuers and Loss Assessors
3541,3315,"Estimators, valuers and assessors",Valuers and Loss Assessors
5223,7233,Metal working production and maintenance fitters,Agricultural and Industrial Machinery Mechanics and Repairers
3541,3315,"Estimators, valuers and assessors",Valuers and Loss Assessors
3541,3315,"Estimators, valuers and assessors",Valuers and Loss Assessors
5224,7311,Precision instrument makers and repairers,Precision-instrument Makers and Repairers
8131,8143,Paper and wood machine operatives,Paper Products Machine Operators
8139,7412,Plant and machine operatives n.e.c.,Electrical Mechanics and Fitters
3541,3315,"Estimators, valuers and assessors",Valuers and Loss Assessors
8131,8143,Paper and wood machine operatives,Paper Products Machine Operators
5223,7233,Metal working production and maintenance fitters,Agricultural and Industrial Machinery Mechanics and Repairers
5249,7413,Electrical and electronic trades n.e.c.,Electrical Line Installers and Repairers 
5223,7233,Metal working production and maintenance fitters,Agricultural and Industrial Machinery Mechanics and Repairers
5231,7231,"Vehicle technicians, mechanics and electricians",Motor Vehicle Mechanics and Repairers
8139,7311,Plant and machine operatives n.e.c.,Precision-instrument Makers and Repairers
5224,7311,Precision instrument makers and repairers,Precision-instrument Makers and Repairers
5223,7311,Metal working production and maintenance fitters,Precision-instrument Makers and Repairers
8143,7543,Routine inspectors and testers,Product Graders and Testers (excluding Foods and Beverages)
5231,7231,"Vehicle technicians, mechanics and electricians",Motor Vehicle Mechanics and Repairers
5224,7311,Precision instrument makers and repairers,Precision-instrument Makers and Repairers
5223,7311,Metal working production and maintenance fitters,Precision-instrument Makers and Repairers
1161,110,Officers in armed forces,Commissioned Armed Forces Officers
1161,110,Officers in armed forces,Commissioned Armed Forces Officers
4129,4311,Financial administrative occupations n.e.c.,Accounting and Bookkeeping Clerks
4122,4311,"Book-keepers, payroll managers and wages clerks",Accounting and Bookkeeping Clerks
3560,1342,Public services associate professionals,Health Services Managers
2439,2422,"Business, research and administrative professionals n.e.c.",Policy Administration Professionals
4159,4110,Other administrative occupations n.e.c.,General Office Clerks
4123,4211,Bank and post office clerks,Bank Tellers and Related Clerks
4129,4312,Financial administrative occupations n.e.c.,"Statistical, Finance and Insurance Clerks"
4159,4419,Other administrative occupations n.e.c.,Clerical Support Workers Not Elsewhere Classified
4131,4312,Records clerks and assistants,"Statistical, Finance and Insurance Clerks"
4111,4110,National government administrative occupations,General Office Clerks
4159,4419,Other administrative occupations n.e.c.,Clerical Support Workers Not Elsewhere Classified
4113,4110,Officers of non-governmental organisations,General Office Clerks
4159,4419,Other administrative occupations n.e.c.,Clerical Support Workers Not Elsewhere Classified
3229,3412,Welfare and housing associate professionals n.e.c.,Social Work Associate Professionals
4132,4312,Pensions and insurance clerks and assistants,"Statistical, Finance and Insurance Clerks"
4132,4312,Pensions and insurance clerks and assistants,"Statistical, Finance and Insurance Clerks"
4129,4312,Financial administrative occupations n.e.c.,"Statistical, Finance and Insurance Clerks"
4159,4110,Other administrative occupations n.e.c.,General Office Clerks
4211,3344,Medical secretaries,Medical Secretaries
4211,3344,Medical secretaries,Medical Secretaries
2329,1345,Other educational professionals n.e.c,Education Managers
4159,4419,Other administrative occupations n.e.c.,Clerical Support Workers Not Elsewhere Classified
3549,3343,Business associate professionals n.e.c.,Administrative and Executive Secretaries
4214,3343,Company secretaries and administrators,Administrative and Executive Secretaries
4131,4110,Records clerks and assistants,General Office Clerks
3131,2522,IT operations technicians,Systems Administrators
4131,3332,Records clerks and assistants,Conference and Event Planners
4131,4312,Records clerks and assistants,"Statistical, Finance and Insurance Clerks"
3551,3323,Buyers and procurement officers,Buyers
4151,4419,Sales administrators,Clerical Support Workers Not Elsewhere Classified
4131,4312,Records clerks and assistants,"Statistical, Finance and Insurance Clerks"
4121,3312,Credit controllers,Credit and Loans Officers
4131,3411,Records clerks and assistants,Legal and Related Associate Professionals
4129,4311,Financial administrative occupations n.e.c.,Accounting and Bookkeeping Clerks
